M12,,,,,,,,,,
1.,Petra Plevnik ,Ž21B ,OK Bjelovar,CRO,,30:46 ,(1),,30:46 ,
2.,Mirjana Mandić ,Ž21B ,OK Japetić,CRO,,33:48 ,(2),,33:48 ,+03:02
3.,Sandra Bergant Vidaković ,Ž21B ,OK Kapela,CRO,,35:09 ,(3),,35:09 ,+04:23
4.,Suzana Stanić ,Ž21B ,OK Kapela,CRO,,35:41 ,(4),,35:41 ,+04:55
5.,Olga Pajnić ,Ž21B ,OK Kapela,CRO,,36:48 ,(5),,36:48 ,+06:02
6.,Lana Gerjević ,Ž21B ,OK Kapela,CRO,,42:48 ,(6),,42:48 ,+12:02
7.,Višnja Dukić ,Ž21B ,OK Kapela,CRO,,44:52 ,(7),,44:52 ,+14:06
8.,Aida Krkić Drobić ,Ž21B ,OK Kapela,CRO,,45:55 ,(8),,45:55 ,+15:09
9.,Jelena Lesjak ,Ž21B ,OK Japetić,CRO,,46:03 ,(9),,46:03 ,+15:17
10.,Sandra Latinger ,Ž21B ,OK Kapela,CRO,,53:56 ,(10),,53:56 ,+23:10
11.,Mihaela Marija Perković ,Ž21B ,OK Vihor,CRO,,90:19 ,(11),,90:19 ,+59:33
,Aleksandra Miličević ,Ž21B ,OK Vihor,CRO,,dns ,,,disq ,
,Melita Sučić ,Ž21B ,OK Vihor,CRO,,dns ,,,disq ,
,,,,,,,,,,
Ž35,,,,,,,,,,
1.,Martina Bedeković Tanković ,Ž35 ,OK Jelen,CRO,,29:21 ,(1),,29:21 ,
2.,Sonja Lesjak ,Ž35 ,OK Japetić,CRO,,30:11 ,(2),,30:11 ,+00:50
3.,Fabiana Cini ,Ž35 ,OK Maksimir,CRO,,31:31 ,(3),,31:31 ,+02:10
4.,Nikolina Šantić ,Ž35 ,OK Bjelovar,CRO,,33:28 ,(4),,33:28 ,+04:07
5.,Sanda Berženji ,Ž35 ,OK Kapela,CRO,,33:32 ,(5),,33:32 ,+04:11
6.,Dunja Van De Riet ,Ž35 ,OK Maksimir,CRO,,34:18 ,(6),,34:18 ,+04:57
7.,Željka Fištrek ,Ž35 ,OK Kapela,CRO,,36:27 ,(7),,36:27 ,+07:06
8.,Sabina Seražin Korper ,Ž35 ,OK Jelen,CRO,,39:07 ,(8),,39:07 ,+09:46
9.,Irena Čorko Meštrović ,Ž35 ,OK Kapela,CRO,,39:43 ,(9),,39:43 ,+10:22
10.,Violeta Čalić ,Ž35 ,OK Vihor,CRO,,43:30 ,(10),,43:30 ,+14:09
11.,Vlatka Stupalo ,Ž35 ,OK Vihor,CRO,,46:58 ,(11),,46:58 ,+17:37
12.,Jasminka Cindrić Perković ,Ž35 ,OK Međimurje,CRO,,47:12 ,(12),,47:12 ,+17:51
13.,Slađana Lučić ,Ž35 ,OK Kapela,CRO,,49:40 ,(13),,49:40 ,+20:19
14.,Maja Kušt ,Ž35 ,OK Vihor,CRO,,53:15 ,(14),,53:15 ,+23:54
15.,Sabina Rako ,Ž35 ,OK Vihor,CRO,,53:30 ,(15),,53:30 ,+24:09
16.,Ivana Horbec ,Ž35 ,OK Vihor,CRO,,58:17 ,(16),,58:17 ,+28:56
17.,Mirka Jakšić ,Ž35 ,OK Maksimir,CRO,,60:22 ,(17),,60:22 ,+31:01
,Bernardica Stipić ,Ž35 ,OK Vihor,CRO,,dns ,,,disq ,
,Marijana Žgela Putniković ,Ž35 ,OK Kapela,CRO,,dns ,,,disq ,
,Ivana Sertić ,Ž35 ,OK Kapela,CRO,,dns ,,,disq ,
,,,,,,,,,,
Ž45,,,,,,,,,,
1.,Gabrijela Baburek ,Ž45 ,OK Japetić,CRO,,34:55 ,(1),,34:55 ,
2.,Ivana Gobec ,Ž45 ,OK Vihor,CRO,,38:08 ,(2),,38:08 ,+03:13
3.,Bojana Nikolić ,Ž45 ,OK Vihor,CRO,,39:09 ,(3),,39:09 ,+04:14
4.,Željka Miljković ,Ž45 ,OK Vihor,CRO,,39:52 ,(4),,39:52 ,+04:57
5.,Marija Jazvić Mioković ,Ž45 ,OK Kapela,CRO,,41:44 ,(5),,41:44 ,+06:49
6.,Srebrenka Vuk ,Ž45 ,OK Kapela,CRO,,43:09 ,(6),,43:09 ,+08:14
7.,Marija Schubert ,Ž45 ,OK Varaždin,CRO,,47:56 ,(7),,47:56 ,+13:01
8.,Evelyn Kraintz ,Ž45 ,OK Maksimir,CRO,,47:59 ,(8),,47:59 ,+13:04
9.,Nataša Kolarek ,Ž45 ,OK Vihor,CRO,,48:39 ,(9),,48:39 ,+13:44
10.,Daliborka Pavlin ,Ž45 ,OK Vihor,CRO,,54:09 ,(10),,54:09 ,+19:14
11.,Sanja Penc ,Ž45 ,OK Vihor,CRO,,61:26 ,(11),,61:26 ,+26:31
12.,Ana-Marija Pavić ,Ž45 ,OK Vihor,CRO,,69:41 ,(12),,69:41 ,+34:46
13.,Marija Gradečak Galović ,Ž45 ,OK Kapela,CRO,,88:54 ,(13),,88:54 ,+53:59
,Neda Punek Gobec ,Ž45 ,OK Vihor,CRO,,dns ,,,disq ,
,Zvjezdana Govedarica ,Ž45 ,OK Japetić,CRO,,mp ,,,disq ,
,,,,,,,,,,
Ž55,,,,,,,,,,
1.,Maja Cvitković ,Ž55 ,OK Vihor,CRO,,37:42 ,(1),,37:42 ,
2.,Mladenka Čuljak Gross ,Ž55 ,OK Kapela,CRO,,45:14 ,(2),,45:14 ,+07:32
3.,Branka Fabek ,Ž55 ,OK Japetić,CRO,,45:47 ,(3),,45:47 ,+08:05
4.,Emilija Ebenspanger ,Ž55 ,OK Kapela,CRO,,50:13 ,(4),,50:13 ,+12:31
5.,Alida Sokolović ,Ž55 ,OK Bjelovar,CRO,,78:00 ,(5),,78:00 ,+40:18
,,,,,,,,,,
Ž65,,,,,,,,,,
1.,Željka Vendler Čepelak ,Ž65 ,OK Maksimir,CRO,,36:02 ,(1),,36:02 ,
2.,Biserka Horvat-Nikšić ,Ž65 ,OK Vihor,CRO,,38:03 ,(2),,38:03 ,+02:01
3.,Vera Franc ,Ž65 ,OK Kapela,CRO,,44:41 ,(3),,44:41 ,+08:39
